Building,Ticker,RecipeID,WfCst,Deprec,Area,AllBuildCst,Output1CNT,Output1MAT,Output2CNT,Output2MAT,Output3CNT,Output3MAT,Input1CNT,Input1MAT,Input2CNT,Input2MAT,Input3CNT,Input3MAT,Input4CNT,Input4MAT,Input5CNT,Input5MAT,Input6CNT,Input6MAT,Input7CNT,Input7MAT,Input8CNT,Input8MAT,Input9CNT,Input9MAT,Input10CNT,Input10MAT,RecipP/D,Runs P/D,Output P/D,AreaPerOutput
GF,RG,RG_1,1734.37,330.43,36.6,96670,10,RG,,,,,10,GL,15,PG,1,SEN,,,,,,,,,,,,,,,0.71875,1.39130,13.91304,2.63063
GF,RG,RG_2,1960.60,373.52,36.6,96670,10,RG,,,,,10,GL,15,PG,,,,,,,,,,,,,,,,,0.81250,1.23077,12.30769,2.97375
GF,TUB,TUB,301.63,57.47,36.6,96670,20,TUB,,,,,10,GL,,,,,,,,,,,,,,,,,,,0.12500,8.00000,160.00000,0.22875
GF,LIT,LIT,1206.52,229.86,36.6,96670,1,LIT,,,,,16,NE,8,RG,,,,,,,,,,,,,,,,,0.50000,2.00000,2.00000,18.30000
GF,GCH,GCH,1055.71,201.13,36.6,96670,1,GCH,,,,,1,GV,20,RG,,,,,,,,,,,,,,,,,0.43750,2.28571,2.28571,16.01250
GF,GNZ,GNZ,2262.23,430.99,36.6,96670,1,GNZ,,,,,1,GCH,20,RG,1,TI,,,,,,,,,,,,,,,0.93750,1.06667,1.06667,34.31250
GF,GL,GL_1,1085.87,206.88,36.6,96670,12,GL,,,,,1,FLX,1,NA,2,SIO,,,,,,,,,,,,,,,0.45000,2.22222,26.66667,1.37250
GF,GL,GL_2,754.08,143.66,36.6,96670,10,GL,,,,,1,NA,1,SEN,2,SIO,,,,,,,,,,,,,,,0.31250,3.20000,32.00000,1.14375
GF,GL,GL_3,904.89,172.40,36.6,96670,10,GL,,,,,1,NA,2,SIO,,,,,,,,,,,,,,,,,0.37500,2.66667,26.66667,1.37250
GF,GEN,GEN,1885.19,359.16,36.6,96670,1,GEN,,,,,4,GNZ,4,LFP,1,MFK,50,NG,10,THF,,,,,,,,,,,0.78125,1.28000,1.28000,28.59375
HWP,LHP,LHP,327.49,45.65,31.2,63932,4,LHP,,,,,12,AL,1,HE,,,,,,,,,,,,,,,,,0.18750,5.33333,21.33333,1.46250
HWP,BHP,BHP,327.49,45.65,31.2,63932,4,BHP,,,,,12,AL,1,HE,1,STL,,,,,,,,,,,,,,,0.18750,5.33333,21.33333,1.46250
HWP,HHP,HHP,545.82,76.08,31.2,63932,4,HHP,,,,,12,AL,4,AST,1,HE,,,,,,,,,,,,,,,0.31250,3.20000,12.80000,2.43750
HWP,RHP,RHP,764.15,106.51,31.2,63932,4,RHP,,,,,12,AL,1,HE,4,TI,,,,,,,,,,,,,,,0.43750,2.28571,9.14286,3.41250
HWP,ATP,ATP,272.91,38.04,31.2,63932,2,ATP,,,,,2,BOS,2,CTF,1,HE,,,,,,,,,,,,,,,0.15625,6.40000,12.80000,2.43750
HWP,BWH,BWH,327.49,45.65,31.2,63932,10,BWH,,,,,4,CF,2,FAL,1,HE,1,KV,,,,,,,,,,,,,0.18750,5.33333,53.33333,0.58500
HWP,AWH,AWH,545.82,76.08,31.2,63932,10,AWH,,,,,4,CTF,1,HE,2,TI,2,TK,,,,,,,,,,,,,0.31250,3.20000,32.00000,0.97500
HWP,AHP,AHP,982.47,136.94,31.2,63932,4,AHP,,,,,8,AL,10,FET,1,HE,,,,,,,,,,,,,,,0.56250,1.77778,7.11111,4.38750
HYF,RCO,RCO_3,179.48,89.47,21.4,128508,2,RCO,,,,,10,H2O,4,NS,,,,,,,,,,,,,,,,,0.13750,7.27273,14.54545,1.47125
HYF,HCP,HCP_2,326.34,162.67,21.4,128508,8,HCP,,,,,14,H2O,1,NS,,,,,,,,,,,,,,,,,0.25000,4.00000,32.00000,0.66875
HYF,VEG,VEG_2,163.17,81.33,21.4,128508,6,VEG,,,,,16,H2O,1,NS,,,,,,,,,,,,,,,,,0.12500,8.00000,48.00000,0.44583
HYF,ALG,ALG,367.13,183.00,21.4,128508,12,ALG,,,,,16,H2O,2,NS,,,,,,,,,,,,,,,,,0.28125,3.55556,42.66667,0.50156
HYF,MUS,MUS_1,244.75,122.00,21.4,128508,4,MUS,,,,,1,NS,,,,,,,,,,,,,,,,,,,0.18750,5.33333,21.33333,1.00313
HYF,MAI,MAI_2,652.67,325.33,21.4,128508,12,MAI,,,,,20,H2O,2,NS,,,,,,,,,,,,,,,,,0.50000,2.00000,24.00000,0.89167
HYF,CAF,CAF,203.96,101.67,21.4,128508,2,CAF,,,,,22,H2O,3,NS,,,,,,,,,,,,,,,,,0.15625,6.40000,12.80000,1.67188
HYF,MUS,MUS_2,407.92,203.33,21.4,128508,12,MUS,,,,,4,NS,,,,,,,,,,,,,,,,,,,0.31250,3.20000,38.40000,0.55729
INC,C,C_1,438.80,71.18,14.0,28408,4,C,,,,,4,GRN,,,,,,,,,,,,,,,,,,,0.62500,1.60000,6.40000,2.18750
INC,C,C_2,144.80,23.49,14.0,28408,4,C,,,,,2,GRN,4,HCP,2,MAI,,,,,,,,,,,,,,,0.20625,4.84848,19.39394,0.72188
INC,C,C_3,289.61,46.98,14.0,28408,4,C,,,,,2,GRN,4,HCP,,,,,,,,,,,,,,,,,0.41250,2.42424,9.69697,1.44375
INC,C,C_4,289.61,46.98,14.0,28408,4,C,,,,,4,HCP,2,MAI,,,,,,,,,,,,,,,,,0.41250,2.42424,9.69697,1.44375
INC,C,C_5,438.80,71.18,14.0,28408,4,C,,,,,4,HCP,,,,,,,,,,,,,,,,,,,0.62500,1.60000,6.40000,2.18750
INC,C,C_6,438.80,71.18,14.0,28408,4,C,,,,,4,MAI,,,,,,,,,,,,,,,,,,,0.62500,1.60000,6.40000,2.18750
IVP,RSI,RSI,2362.94,1307.71,41.8,468684,8,RSI,,,,,16,H2O,1,HCP,1,NS,,,,,,,,,,,,,,,0.62500,1.60000,12.80000,3.26563
IVP,MTP,MTP,1772.20,980.78,41.8,468684,4,MTP,,,,,1,HCP,1,NS,1,PPA,,,,,,,,,,,,,,,0.46875,2.13333,8.53333,4.89844
IVP,VG,VG,2362.94,1307.71,41.8,468684,20,VG,,,,,2,BAC,2,BL,4,REA,2,VIT,,,,,,,,,,,,,0.62500,1.60000,32.00000,1.30625
LAB,JUI,JUI,1095.99,254.58,37.2,278844,30,JUI,,,,,5,BL,5,CST,10,HEX,1,PK,,,,,,,,,,,,,0.25000,4.00000,120.00000,0.31000
LAB,BLE,BLE_1,2191.98,509.17,37.2,278844,4,BLE,,,,,10,NAB,2,O,3,S,,,,,,,,,,,,,,,0.50000,2.00000,8.00000,4.65000
LAB,DDT,DDT,2054.98,477.34,37.2,278844,3,DDT,,,,,1,C,1,CL,1,H,,,,,,,,,,,,,,,0.46875,2.13333,6.40000,5.81250
LAB,TCL,TCL,1643.99,381.88,37.2,278844,3,TCL,,,,,1,CL,1,H,1,O,,,,,,,,,,,,,,,0.37500,2.66667,8.00000,4.65000
LAB,NST,NST,1369.99,318.23,37.2,278844,4,NST,,,,,1,ALG,1,ES,1,THF,,,,,,,,,,,,,,,0.31250,3.20000,12.80000,2.90625
LAB,BL,BL,2739.98,636.46,37.2,278844,2,BL,,,,,1,F,1,O,,,,,,,,,,,,,,,,,0.62500,1.60000,3.20000,11.62500
LAB,BAC,BAC,6027.95,1400.21,37.2,278844,10,BAC,,,,,1,HCP,1,O,1,S,,,,,,,,,,,,,,,1.37500,0.72727,7.27273,5.11500
LAB,BLE,BLE_2,1369.99,318.23,37.2,278844,3,BLE,,,,,1,CL,1,NA,1,O,,,,,,,,,,,,,,,0.31250,3.20000,9.60000,3.87500
LAB,CST,CST,4109.96,954.69,37.2,278844,3,CST,,,,,1,DW,1,NS,,,,,,,,,,,,,,,,,0.93750,1.06667,3.20000,11.62500
LAB,THF,THF,2739.98,636.46,37.2,278844,20,THF,,,,,4,AMM,4,H2O,4,NA,,,,,,,,,,,,,,,0.62500,1.60000,32.00000,1.16250
LAB,NR,NR,2191.98,509.17,37.2,278844,50,NR,,,,,50,EPO,75,NCS,,,,,,,,,,,,,,,,,0.50000,2.00000,100.00000,0.37200
MCA,FAN,FAN,210.43,268.07,40.2,415804,8,FAN,,,,,1,AL,8,DCS,2,SFK,,,,,,,,,,,,,,,0.12500,8.00000,64.00000,0.62813
MCA,DIS,DIS,704.95,898.03,40.2,415804,1,DIS,,,,,3,GL,1,LCR,,,,,,,,,,,,,,,,,0.41875,2.38806,2.38806,16.83375
MCA,HD,HD,704.95,898.03,40.2,415804,5,HD,,,,,5,DCS,5,LDI,1,RG,,,,,,,,,,,,,,,0.41875,2.38806,11.94030,3.36675
MCA,MB,MB,315.65,402.10,40.2,415804,4,MB,,,,,4,MPC,4,PSM,4,RAM,4,SFK,,,,,,,,,,,,,0.18750,5.33333,21.33333,1.88438
ORC,PIB,PIB_1,1160.04,1114.99,129.8,484072,12,PIB,,,,,1,DDT,20,H2O,2,SOI,,,,,,,,,,,,,,,0.43750,2.28571,27.42857,4.73229
ORC,GRA,GRA_1,1325.76,1274.28,129.8,484072,6,GRA,,,,,1,DDT,30,H2O,3,SOI,,,,,,,,,,,,,,,0.50000,2.00000,12.00000,10.81667
ORC,PIB,PIB_2,1325.76,1274.28,129.8,484072,10,PIB,,,,,1,DDT,30,H2O,,,,,,,,,,,,,,,,,0.50000,2.00000,20.00000,6.49000
ORC,GRA,GRA_2,1657.19,1592.85,129.8,484072,5,GRA,,,,,1,DDT,40,H2O,,,,,,,,,,,,,,,,,0.62500,1.60000,8.00000,16.22500
ORC,HOP,HOP_1,2900.09,2787.48,129.8,484072,18,HOP,,,,,2,DDT,40,H2O,4,SOI,,,,,,,,,,,,,,,1.09375,0.91429,16.45714,7.88715
ORC,HOP,HOP_2,3314.39,3185.69,129.8,484072,15,HOP,,,,,2,DDT,60,H2O,,,,,,,,,,,,,,,,,1.25000,0.80000,12.00000,10.81667
PAC,EBU,EBU,272.57,132.04,41.8,146724,1,EBU,,,,,100,DW,70,FIM,10,GIN,2,HSS,5,MED,1,PDA,160,PE,4,PSS,2,VG,,,0.17500,5.71429,5.71429,7.31500
PAC,CBU,CBU,292.04,141.47,41.8,146724,1,CBU,,,,,100,DW,2,LC,70,MEA,5,MED,1,NST,280,PE,8,PSS,10,WIN,1,WS,,,0.18750,5.33333,5.33333,7.83750
PAC,PBU,PBU,194.70,94.31,41.8,146724,1,PBU,,,,,5,COF,40,DW,5,OVE,50,PE,2,PWO,40,RAT,,,,,,,,,0.12500,8.00000,8.00000,5.22500
PAC,SBU,SBU,214.16,103.74,41.8,146724,1,SBU,,,,,50,DW,5,EXO,10,KOM,100,PE,5,PT,60,RAT,2,REP,,,,,,,0.13750,7.27273,7.27273,5.74750
PAC,TBU,TBU,243.37,117.89,41.8,146724,1,TBU,,,,,10,ALE,75,DW,5,HMS,5,MED,40,PE,1,PSS,70,RAT,1,SC,1,SCN,,,0.15625,6.40000,6.40000,6.53125
PHF,ADR,ADR,1183.68,533.44,41.5,207930,1,ADR,,,,,1,BSC,2,DCM,4,MFK,20,REA,,,,,,,,,,,,,0.56250,1.77778,1.77778,23.34375
PHF,BSC,BSC,1183.68,533.44,41.5,207930,1,BSC,,,,,1,DCM,1,MFK,1,SAR,,,,,,,,,,,,,,,0.56250,1.77778,1.77778,23.34375
PHF,BND,BND,263.04,118.54,41.5,207930,20,BND,,,,,1,NL,1,SIL,,,,,,,,,,,,,,,,,0.12500,8.00000,160.00000,0.25938
PHF,PK,PK,434.02,195.59,41.5,207930,10,PK,,,,,2,CA,4,LI,10,REA,,,,,,,,,,,,,,,0.20625,4.84848,48.48485,0.85594
POL,DEC,DEC,290.50,111.49,19.0,70547,1,DEC,,,,,70,EPO,150,PG,,,,,,,,,,,,,,,,,0.31250,3.20000,3.20000,5.93750
POL,EPO,EPO,581.00,222.99,19.0,70547,50,EPO,,,,,1,C,1,CL,1,H,1,O,,,,,,,,,,,,,0.62500,1.60000,80.00000,0.23750
POL,PG,PG,203.35,78.05,19.0,70547,50,PG,,,,,1,C,1,H,1,MG,,,,,,,,,,,,,,,0.21875,4.57143,228.57143,0.08313
PP1,BDE,BDE_1,263.28,22.15,27.0,37076,1,BDE,,,,,150,PE,,,,,,,,,,,,,,,,,,,0.18750,5.33333,5.33333,5.06250
PP1,BSE,BSE_1,219.40,18.45,27.0,37076,1,BSE,,,,,1,FE,2,LST,,,,,,,,,,,,,,,,,0.15625,6.40000,6.40000,4.21875
PP1,BTA,BTA_1,131.64,11.07,27.0,37076,1,BTA,,,,,1,FE,50,PE,,,,,,,,,,,,,,,,,0.09375,10.66667,10.66667,2.53125
PP1,BBH,BBH_1,289.61,24.36,27.0,37076,1,BBH,,,,,2,FE,1,LST,,,,,,,,,,,,,,,,,0.20625,4.84848,4.84848,5.56875
PP2,LSE,LSE,186.39,31.77,30.5,45893,1,LSE,,,,,3,AL,120,PG,,,,,,,,,,,,,,,,,0.15625,6.40000,6.40000,4.76563
PP2,BSE,BSE_2,164.02,27.96,30.5,45893,1,BSE,,,,,1,AL,2,LST,,,,,,,,,,,,,,,,,0.13750,7.27273,7.27273,4.19375
PP2,LTA,LTA,186.39,31.77,30.5,45893,1,LTA,,,,,1,AL,5,GL,,,,,,,,,,,,,,,,,0.15625,6.40000,6.40000,4.76563
PP2,BTA,BTA_2,111.83,19.06,30.5,45893,1,BTA,,,,,1,AL,1,GL,,,,,,,,,,,,,,,,,0.09375,10.66667,10.66667,2.85938
PP2,BBH,BBH_2,186.39,31.77,30.5,45893,1,BBH,,,,,2,AL,1,LST,,,,,,,,,,,,,,,,,0.15625,6.40000,6.40000,4.76563
PP2,LBH,LBH,186.39,31.77,30.5,45893,1,LBH,,,,,3,AL,35,PE,,,,,,,,,,,,,,,,,0.15625,6.40000,6.40000,4.76563
PP2,LDE,LDE,186.39,31.77,30.5,45893,1,LDE,,,,,3,AL,1,NL,,,,,,,,,,,,,,,,,0.15625,6.40000,6.40000,4.76563
PP2,BDE,BDE_2,186.39,31.77,30.5,45893,1,BDE,,,,,40,PG,,,,,,,,,,,,,,,,,,,0.15625,6.40000,6.40000,4.76563
PP2,AEF,AEF,372.77,63.54,30.5,45893,1,AEF,,,,,1,NE,50,PG,,,,,,,,,,,,,,,,,0.31250,3.20000,3.20000,9.53125
PP3,INS,INS,431.82,88.70,40.0,158268,24,INS,,,,,1,AR,100,PE,1,THF,,,,,,,,,,,,,,,0.15625,6.40000,153.60000,0.26042
PP3,RBH,RBH,690.92,141.92,40.0,158268,1,RBH,,,,,1,BBH,50,EPO,1,STL,,,,,,,,,,,,,,,0.25000,4.00000,4.00000,10.00000
PP3,RDE,RDE,1209.10,248.35,40.0,158268,2,RDE,,,,,100,EPO,1,KV,1,LDE,,,,,,,,,,,,,,,0.43750,2.28571,4.57143,8.75000
PP3,RTA,RTA,690.92,141.92,40.0,158268,1,RTA,,,,,1,LTA,6,RG,,,,,,,,,,,,,,,,,0.25000,4.00000,4.00000,10.00000
PP3,MGC,MGC,1900.02,390.27,40.0,158268,1,MGC,,,,,1,LDE,1,MAG,,,,,,,,,,,,,,,,,0.68750,1.45455,1.45455,27.50000
PP3,PSH,PSH,690.92,141.92,40.0,158268,1,PSH,,,,,250,NFI,1,TI,,,,,,,,,,,,,,,,,0.25000,4.00000,4.00000,10.00000
PP3,RSE,RSE,1209.10,248.35,40.0,158268,2,RSE,,,,,2,BSE,225,EPO,1,STL,,,,,,,,,,,,,,,0.43750,2.28571,4.57143,8.75000
PP3,HSE,HSE,690.92,141.92,40.0,158268,2,HSE,,,,,2,LSE,1,TCS,,,,,,,,,,,,,,,,,0.25000,4.00000,8.00000,5.00000
PP4,TSH,TSH,2999.74,1063.50,50.4,707628,1,TSH,,,,,2,LBH,150,PE,2,THP,,,,,,,,,,,,,,,0.37500,2.66667,2.66667,18.90000
PP4,ASE,ASE,2749.76,974.88,50.4,707628,1,ASE,,,,,1,RSE,2,TI,,,,,,,,,,,,,,,,,0.34375,2.90909,2.90909,17.32500
PP4,ATA,ATA,2749.76,974.88,50.4,707628,1,ATA,,,,,1,NG,1,RTA,,,,,,,,,,,,,,,,,0.34375,2.90909,2.90909,17.32500
PP4,RSH,RSH,4499.61,1595.25,50.4,707628,1,RSH,,,,,1,LST,1,STL,1,TA,,,,,,,,,,,,,,,0.56250,1.77778,1.77778,28.35000
PP4,ADE,ADE,2999.74,1063.50,50.4,707628,2,ADE,,,,,2,KV,2,LDE,,,,,,,,,,,,,,,,,0.37500,2.66667,5.33333,9.45000
PP4,ABH,ABH,3499.69,1240.75,50.4,707628,2,ABH,,,,,125,NR,2,RBH,,,,,,,,,,,,,,,,,0.43750,2.28571,4.57143,11.02500
PPF,PSS,PSS,188.52,33.60,22.0,57080,1,PSS,,,,,10,PG,,,,,,,,,,,,,,,,,,,0.12500,8.00000,8.00000,2.75000
PPF,LFP,LFP,471.30,83.99,22.0,57080,1,LFP,,,,,50,PG,1,SFK,10,THF,,,,,,,,,,,,,,,0.31250,3.20000,3.20000,6.87500
PPF,PSM,PSM,377.04,67.19,22.0,57080,1,PSM,,,,,20,PG,,,,,,,,,,,,,,,,,,,0.25000,4.00000,4.00000,5.50000
PPF,DCL,DCL,659.82,117.59,22.0,57080,2,DCL,,,,,2,MFK,40,PG,2,PSL,,,,,,,,,,,,,,,0.43750,2.28571,4.57143,4.81250
PPF,DCM,DCM,471.30,83.99,22.0,57080,2,DCM,,,,,20,PG,2,PSM,8,SFK,,,,,,,,,,,,,,,0.31250,3.20000,6.40000,3.43750
PPF,PSL,PSL,565.56,100.79,22.0,57080,1,PSL,,,,,40,PG,,,,,,,,,,,,,,,,,,,0.37500,2.66667,2.66667,8.25000
PPF,DCS,DCS,282.78,50.40,22.0,57080,2,DCS,,,,,10,PG,1,PSS,4,SFK,,,,,,,,,,,,,,,0.18750,5.33333,10.66667,2.06250
REF,SF,SF_1,155.29,20.44,33.4,54582,100,SF,,,,,1,AMM,2,GAL,3,H,,,,,,,,,,,,,,,0.09375,10.66667,1066.66667,0.03131
REF,SF,SF_2,414.10,54.50,33.4,54582,150,SF,,,,,1,AMM,5,NAB,,,,,,,,,,,,,,,,,0.25000,4.00000,600.00000,0.05567
REF,FF,FF,155.29,20.44,33.4,54582,100,FF,,,,,4,H,2,HE3,,,,,,,,,,,,,,,,,0.09375,10.66667,1066.66667,0.03131
REF,HE3,HE3,258.81,34.06,33.4,54582,2,HE3,,,,,3,TS,,,,,,,,,,,,,,,,,,,0.15625,6.40000,12.80000,2.60938
RIG,,,65.82,13.67,13.0,25611,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12500,8.00000,0.00000,#DIV/0!
SCA,ROM,ROM,303.81,335.50,39.2,361536,10,ROM,,,,,10,BGC,10,PSS,10,SI,,,,,,,,,,,,,,,0.18750,5.33333,53.33333,0.73500
SCA,MPC,MPC,425.33,469.70,39.2,361536,10,MPC,,,,,10,BCO,10,SWF,10,TRN,,,,,,,,,,,,,,,0.26250,3.80952,38.09524,1.02900
SCA,PCB,PCB,283.55,313.13,39.2,361536,5,PCB,,,,,5,BCO,1,BGO,60,PE,10,SWF,,,,,,,,,,,,,0.17500,5.71429,28.57143,1.37200
SCA,SEN,SEN,293.68,324.32,39.2,361536,20,SEN,,,,,10,H,10,N,20,TRN,,,,,,,,,,,,,,,0.18125,5.51724,110.34483,0.35525
SCA,TPU,TPU,658.25,726.92,39.2,361536,4,TPU,,,,,4,CAP,4,HCC,4,MWF,4,TRN,,,,,,,,,,,,,0.40625,2.46154,9.84615,3.98125
SCA,RAM,RAM,425.33,469.70,39.2,361536,6,RAM,,,,,6,BCO,6,CAP,6,PSS,,,,,,,,,,,,,,,0.26250,3.80952,22.85714,1.71500
SD,BAI,BAI,3375.63,1456.94,27.0,275560,1,BAI,,,,,,,,,,,,,,,,,,,,,,,,,1.25000,0.80000,0.80000,33.75000
SD,LD,LD,2531.72,1092.71,27.0,275560,1,LD,,,,,,,,,,,,,,,,,,,,,,,,,0.93750,1.06667,1.06667,25.31250
SD,MLI,MLI,5063.44,2185.42,27.0,275560,1,MLI,,,,,,,,,,,,,,,,,,,,,,,,,1.87500,0.53333,0.53333,50.62500
SD,NF,NF,2531.72,1092.71,27.0,275560,1,NF,,,,,,,,,,,,,,,,,,,,,,,,,0.93750,1.06667,1.06667,25.31250
SD,SA,SA,1687.81,728.47,27.0,275560,1,SA,,,,,,,,,,,,,,,,,,,,,,,,,0.62500,1.60000,1.60000,16.87500
SD,SAL,SAL,1687.81,728.47,27.0,275560,1,SAL,,,,,,,,,,,,,,,,,,,,,,,,,0.62500,1.60000,1.60000,16.87500
SD,WM,WM,3375.63,1456.94,27.0,275560,1,WM,,,,,,,,,,,,,,,,,,,,,,,,,1.25000,0.80000,0.80000,33.75000
SE,NN,NN,5473.97,2423.33,24.8,609820,1,NN,,,,,1,BAI,1,MLI,,,,,,,,,,,,,,,,,0.93750,1.06667,1.06667,23.25000
SE,OS,OS,7298.63,3231.11,24.8,609820,1,OS,,,,,1,LD,1,ROM,1,WM,,,,,,,,,,,,,,,1.25000,0.80000,0.80000,31.00000
SE,DD,DD,7298.63,3231.11,24.8,609820,1,DD,,,,,1,LD,1,NF,,,,,,,,,,,,,,,,,1.25000,0.80000,0.80000,31.00000
SE,DA,DA,5473.97,2423.33,24.8,609820,1,DA,,,,,1,LD,1,ROM,1,SA,1,SAL,,,,,,,,,,,,,0.93750,1.06667,1.06667,23.25000
SE,DV,DV,5473.97,2423.33,24.8,609820,1,DV,,,,,,,,,,,,,,,,,,,,,,,,,0.93750,1.06667,1.06667,23.25000
SE,EDC,EDC,3649.31,1615.56,24.8,609820,1,EDC,,,,,,,,,,,,,,,,,,,,,,,,,0.62500,1.60000,1.60000,15.50000
SKF,WCB,WCB,873.31,115.78,46.2,61792,1,WCB,,,,,100,AST,100,FET,20,MFK,,,,,,,,,,,,,,,0.50000,2.00000,2.00000,23.10000
SKF,MCB,MCB,709.56,94.07,46.2,61792,1,MCB,,,,,100,AST,16,MFK,,,,,,,,,,,,,,,,,0.40625,2.46154,2.46154,18.76875
SKF,MFL,MFL,545.82,72.36,46.2,61792,1,MFL,,,,,4,MFK,10,ZR,,,,,,,,,,,,,,,,,0.31250,3.20000,3.20000,14.43750
SKF,LSL,LSL,982.47,130.25,46.2,61792,1,LSL,,,,,125,FET,8,MFK,,,,,,,,,,,,,,,,,0.56250,1.77778,1.77778,25.98750
SKF,LCB,LCB,818.73,108.54,46.2,61792,1,LCB,,,,,200,AST,20,MFK,,,,,,,,,,,,,,,,,0.46875,2.13333,2.13333,21.65625
SKF,VCB,VCB,873.31,115.78,46.2,61792,1,VCB,,,,,200,FET,20,MFK,,,,,,,,,,,,,,,,,0.50000,2.00000,2.00000,23.10000
SKF,TCB,TCB,436.66,57.89,46.2,61792,1,TCB,,,,,20,FE,4,MFK,,,,,,,,,,,,,,,,,0.25000,4.00000,4.00000,11.55000
SKF,SSL,SSL,545.82,72.36,46.2,61792,1,SSL,,,,,2,MFK,20,TI,,,,,,,,,,,,,,,,,0.31250,3.20000,3.20000,14.43750
SKF,LFL,LFL,764.15,101.31,46.2,61792,1,LFL,,,,,8,MFK,20,ZR,,,,,,,,,,,,,,,,,0.43750,2.28571,2.28571,20.21250
SKF,VSC,VSC,545.82,72.36,46.2,61792,1,VSC,,,,,35,FE,8,MFK,,,,,,,,,,,,,,,,,0.31250,3.20000,3.20000,14.43750
SKF,SCB,SCB,654.98,86.83,46.2,61792,1,SCB,,,,,50,FAL,12,MFK,,,,,,,,,,,,,,,,,0.37500,2.66667,2.66667,17.32500
SKF,MSL,MSL,764.15,101.31,46.2,61792,1,MSL,,,,,50,FET,4,MFK,,,,,,,,,,,,,,,,,0.43750,2.28571,2.28571,20.21250
SKF,SFL,SFL,327.49,43.42,46.2,61792,1,SFL,,,,,1,MFK,5,ZR,,,,,,,,,,,,,,,,,0.18750,5.33333,5.33333,8.66250
SKF,HCB,HCB,2183.28,289.44,46.2,61792,1,HCB,,,,,100,MFK,600,WAL,,,,,,,,,,,,,,,,,1.25000,0.80000,0.80000,57.75000
SL,IMM,IMM,6626.06,3026.88,23.6,763120,1,IMM,,,,,1,DA,1,DD,,,,,,,,,,,,,,,,,0.93750,1.06667,1.06667,22.12500
SL,WAI,WAI,8834.75,4035.83,23.6,763120,1,WAI,,,,,1,NN,1,ROM,,,,,,,,,,,,,,,,,1.25000,0.80000,0.80000,29.50000
SL,SNM,SNM,8834.75,4035.83,23.6,763120,2,SNM,,,,,1,DV,1,IMM,1,WAI,,,,,,,,,,,,,,,1.25000,0.80000,1.60000,14.75000
SL,IDC,IDC,4417.38,2017.92,23.6,763120,1,IDC,,,,,,,,,,,,,,,,,,,,,,,,,0.62500,1.60000,1.60000,14.75000
SME,LI,LI,362.01,67.47,22.0,39325,4,LI,,,,,4,HAL,10,LIO,,,,,,,,,,,,,,,,,0.41250,2.42424,9.69697,2.26875
SME,AU,AU,246.83,46.00,22.0,39325,2,AU,,,,,3,AUO,1,C,,,,,,,,,,,,,,,,,0.28125,3.55556,7.11111,3.09375
SME,S,S,164.55,30.67,22.0,39325,6,S,,,,,1,O,1,SCR,,,,,,,,,,,,,,,,,0.18750,5.33333,32.00000,0.68750
SME,STL,STL,191.98,35.78,22.0,39325,2,STL,,,,,2,FE,8,O,,,,,,,,,,,,,,,,,0.21875,4.57143,9.14286,2.40625
SME,SI,SI_1,82.28,15.33,22.0,39325,1,SI,,,,,1,AL,3,SIO,,,,,,,,,,,,,,,,,0.09375,10.66667,10.66667,2.06250
SME,SI,SI_2,65.82,12.27,22.0,39325,1,SI,,,,,1,C,1,FLX,1,O,3,SIO,,,,,,,,,,,,,0.07500,13.33333,13.33333,1.65000
SME,SI,SI_3,109.70,20.44,22.0,39325,1,SI,,,,,1,C,1,O,3,SIO,,,,,,,,,,,,,,,0.12500,8.00000,8.00000,2.75000
SME,CF,CF,219.40,40.89,22.0,39325,1,CF,,,,,4,AL,2,O,1,SI,,,,,,,,,,,,,,,0.25000,4.00000,4.00000,5.50000
SME,TI,TI,411.38,76.67,22.0,39325,2,TI,,,,,1,C,1,O,4,TIO,,,,,,,,,,,,,,,0.46875,2.13333,4.26667,5.15625
SME,SI,SI_4,65.82,12.27,22.0,39325,1,SI,,,,,1,AL,1,O,4,TS,,,,,,,,,,,,,,,0.07500,13.33333,13.33333,1.65000
SME,CU,CU,274.25,51.11,22.0,39325,3,CU,,,,,5,CUO,10,O,1,SIO,,,,,,,,,,,,,,,0.31250,3.20000,9.60000,2.29167
SME,AL,AL_1,274.25,51.11,22.0,39325,3,AL,,,,,6,ALO,1,C,1,O,,,,,,,,,,,,,,,0.31250,3.20000,9.60000,2.29167
SME,AL,AL_2,329.10,61.33,22.0,39325,4,AL,,,,,6,ALO,1,C,1,FLX,1,O,,,,,,,,,,,,,0.37500,2.66667,10.66667,2.06250
SME,FE,FE_1,329.10,61.33,22.0,39325,4,FE,,,,,1,C,6,FEO,1,FLX,1,O,,,,,,,,,,,,,0.37500,2.66667,10.66667,2.06250
SME,FE,FE_2,274.25,51.11,22.0,39325,3,FE,,,,,1,C,6,FEO,1,O,,,,,,,,,,,,,,,0.31250,3.20000,9.60000,2.29167
SPF,NOZ,NOZ,5249.78,920.87,51.6,953280,1,NOZ,,,,,1,CHA,10,FAL,2,MFK,,,,,,,,,,,,,,,0.31250,3.20000,3.20000,16.12500
SPF,HPR,HPR,52497.81,9208.68,51.6,953280,1,HPR,,,,,1,CBM,1,FIR,20,STL,,,,,,,,,,,,,,,3.12500,0.32000,0.32000,161.25000
